date,description,category,transaction_type,base_amount,random_variance,amount,account_id
9/9/2025,AMAZON PRIME,Entertainment,debit,50,0.95,-47.5,41
1/7/2026,SHELL-FUEL,,Credit,100,0.85,85.0,42
2/12/2025,ESEWA BALANCE TRANSFER,,debit,50,1.18,-59.0,43
12/12/2025,SHELL OIL 9876,Uncategorized,Credit,10,0.81,8.1,44
11/25/2025,ATM CASH,Uncategorized,Debit,20,0.94,-18.8,45
8/29/2025,ESEWA CASHOUT,Other,Debit,50,0.81,-40.5,46
1/17/2026,SHELL OIL 9876,Uncategorized,debit,40,0.9,-36.0,47
10/17/2025,INDRIVE TRIP,Transportation,CREDIT,20,0.85,17.0,48
3/5/2025,REFUND DARAZ,Income,DEBIT,100,1.02,-102.0,49
10/16/2025,REFUND DARAZ,Groceries,DEBIT,20,1.0,-20.0,50
2/22/2025,DD-SALARY,Bills,Credit,20,1.15,23.0,51
3/22/2025,INDRIVE TRIP,Other,debit,20,1.16,-23.2,52
11/30/2025,AMAZON PRIME,Food & Dining,CREDIT,20,0.93,18.6,53
12/18/2025,SHELL OIL 9876,Uncategorized,Debit,10,1.09,-10.9,54
3/30/2025,DD-SALARY,Income,,20,0.9,18.0,55
12/29/2025,SHELL OIL 9876,Groceries,DEBIT,20,1.07,-21.4,56
7/28/2025,SHELL OIL 9876,Shopping,Credit,10,1.02,10.2,57
11/25/2025,ATM WITHDRAWAL,Uncategorized,,20,0.91,18.2,58
5/3/2025,ATM CASH,Shopping,CREDIT,50,1.01,50.5,59
12/6/2025,IRANI CHIYA LOKANTHALI,,DEBIT,40,1.14,-45.6,60
5/3/2025,SAFA CHULO #1234,Other,DEBIT,100,1.18,-118.0,61
1/30/2026,ATM WITHDRAWAL,Transportation,Debit,40,0.84,-33.6,62
9/2/2025,LANDLORD_RENT_PAYMNT,Transportation,Credit,500,0.91,455.0,63
12/16/2025,PAYCHECK DEPOSIT,,Credit,1000,1.19,1190.0,64
10/9/2025,SAFA CHULO #1234,Groceries,Debit,10,0.81,-8.1,65
2/12/2025,LANDLORD_RENT_PAYMNT,Income,debit,50,1.2,-60.0,66
12/26/2025,CHOWMEIN 1234,Income,Credit,500,0.85,425.0,67
7/2/2025,WHOLE FOODS MKT,Income,Debit,1000,0.98,-980.0,68
11/26/2025,AMAZON PRIME,Shopping,Debit,1000,1.1,-1100.0,69
11/29/2025,SHELL-FUEL,Uncategorized,DEBIT,20,1.03,-20.6,70
11/2/2025,SHELL-FUEL,Other,DEBIT,50,0.95,-47.5,71
10/20/2025,ESEWA CASHOUT,Entertainment,debit,100,1.19,-119.0,72
7/11/2025,Netflix Subscription,Shopping,CREDIT,500,1.05,525.0,73
7/25/2025,SAFA CHULO #1234,Shopping,Debit,100,1.04,-104.0,74
8/19/2025,LANDLORD_RENT_PAYMNT,Uncategorized,Credit,10,0.88,8.8,75
9/9/2025,ATM CASH,Transportation,Debit,1000,1.08,-1080.0,76
9/1/2025,PAYCHECK DEPOSIT,Bills,Debit,1000,1.06,-1060.0,77
10/2/2025,ESEWA BALANCE TRANSFER,Groceries,Debit,20,1.01,-20.2,78
4/17/2025,WHOLE FOODS MKT,Other,Credit,50,0.95,47.5,79
6/6/2025,ATM CASH,Food & Dining,Credit,50,0.95,47.5,80
5/20/2025,SHELL-FUEL,Income,DEBIT,50,0.82,-41.0,81
1/14/2026,Netflix Subscription,Shopping,Credit,40,1.1,44.0,82
6/4/2025,ATM CASH,Transportation,debit,100,0.83,-83.0,83
5/31/2025,ATM WITHDRAWAL,Shopping,Debit,100,1.04,-104.0,84
9/30/2025,INDRIVE TRIP,Other,debit,40,1.07,-42.8,85
7/25/2025,INDRIVE TRIP,Transportation,Debit,50,1.05,-52.5,86
6/3/2025,ESEWA CASHOUT,Income,Debit,40,1.08,-43.2,87
12/27/2025,IRANI CHIYA LOKANTHALI,Groceries,DEBIT,50,0.83,-41.5,88
6/22/2025,LANDLORD_RENT_PAYMNT,Groceries,DEBIT,10,1.11,-11.1,89
3/10/2025,PAYCHECK DEPOSIT,Groceries,debit,100,0.96,-96.0,90
1/26/2026,Netflix Subscription,Groceries,debit,10,1.1,-11.0,91
7/9/2025,CHOWMEIN 1234,Uncategorized,debit,1000,1.01,-1010.0,92
3/7/2025,NETFLIX.COM,Shopping,Credit,10,1.02,10.2,93
12/26/2025,INDRIVE TRIP,,DEBIT,10,1.15,-11.5,94
11/14/2025,ATM WITHDRAWAL,Other,Credit,500,1.07,535.0,95
9/5/2025,ESEWA CASHOUT,Income,Debit,40,1.14,-45.6,96
11/17/2025,SAFA CHULO #1234,Uncategorized,Debit,10,0.86,-8.6,97
6/15/2025,SHELL OIL 9876,Other,DEBIT,40,1.0,-40.0,98
3/11/2025,DD-SALARY,Groceries,CREDIT,1000,0.91,910.0,99
4/6/2025,ATM WITHDRAWAL,Groceries,Credit,100,0.9,90.0,100
7/24/2025,SHELL-FUEL,Food & Dining,Debit,20,1.19,-23.8,101
1/26/2026,DD-SALARY,Entertainment,debit,20,0.86,-17.2,102
1/1/2026,SHELL-FUEL,Entertainment,Credit,100,1.2,120.0,103
2/22/2025,REFUND DARAZ,Bills,debit,50,1.16,-58.0,104
1/2/2026,SAFA CHULO #1234,Other,Credit,10,1.11,11.1,105
5/9/2025,ATM WITHDRAWAL,Food & Dining,Debit,20,1.07,-21.4,106
7/31/2025,IRANI CHIYA LOKANTHALI,Entertainment,DEBIT,20,0.93,-18.6,107
11/24/2025,REFUND DARAZ,Groceries,Credit,40,1.16,46.4,108
3/29/2025,SAFA CHULO #1234,,Credit,50,0.89,44.5,109
8/3/2025,AMZN MKTPLC WA,Food & Dining,debit,100,1.13,-113.0,110
4/11/2025,AMAZON PRIME,Groceries,Debit,50,0.85,-42.5,111
7/8/2025,ATM CASH,,DEBIT,50,1.13,-56.5,112
2/3/2025,NETFLIX.COM,Entertainment,Credit,40,0.82,32.8,113
12/19/2025,SHELL-FUEL,Groceries,Credit,500,0.86,430.0,114
3/28/2025,WHOLE FOODS MKT,,debit,100,1.02,-102.0,115
7/13/2025,CHOWMEIN 1234,Shopping,Debit,50,0.86,-43.0,116
7/24/2025,WHOLE FOODS MKT,Shopping,Credit,500,1.17,585.0,117
12/30/2025,Netflix Subscription,Bills,Debit,50,1.2,-60.0,118
1/1/2026,REFUND DARAZ,Groceries,Debit,10,1.07,-10.7,119
10/14/2025,DD-SALARY,Other,debit,20,0.95,-19.0,120
5/28/2025,DD-SALARY,Bills,debit,100,1.03,-103.0,121
10/2/2025,IRANI CHIYA LOKANTHALI,Transportation,CREDIT,20,0.93,18.6,122
5/29/2025,ESEWA CASHOUT,Bills,Debit,50,0.86,-43.0,123
6/1/2025,ESEWA BALANCE TRANSFER,Entertainment,debit,100,0.84,-84.0,124
12/21/2025,ATM WITHDRAWAL,Food & Dining,Credit,100,1.0,100.0,125
2/17/2025,SHELL-FUEL,Shopping,debit,100,1.06,-106.0,126
10/30/2025,INDRIVE TRIP,Entertainment,Credit,50,1.02,51.0,127
3/16/2025,ATM WITHDRAWAL,Income,Debit,20,1.0,-20.0,128
8/18/2025,ESEWA BALANCE TRANSFER,Groceries,DEBIT,10,0.92,-9.2,129
6/15/2025,WHOLE FOODS MKT,Groceries,Credit,100,1.16,116.0,130
12/25/2025,AMAZON PRIME,Transportation,CREDIT,20,1.17,23.4,131
2/27/2025,ATM WITHDRAWAL,Food & Dining,Debit,50,1.0,-50.0,132
1/20/2026,AMAZON PRIME,Bills,Debit,50,1.04,-52.0,133
10/5/2025,LANDLORD_RENT_PAYMNT,Food & Dining,debit,50,0.86,-43.0,134
3/1/2025,SHELL-FUEL,Income,debit,20,1.0,-20.0,135
9/8/2025,LANDLORD_RENT_PAYMNT,Bills,Debit,50,0.82,-41.0,136
11/16/2025,WHOLE FOODS MKT,Other,Debit,20,0.85,-17.0,137
11/26/2025,NETFLIX.COM,Shopping,Debit,500,1.04,-520.0,138
4/26/2025,ESEWA BALANCE TRANSFER,,Credit,50,0.93,46.5,139
9/18/2025,ESEWA CASHOUT,,Credit,10,1.15,11.5,140
4/17/2025,ESEWA BALANCE TRANSFER,Other,debit,1000,0.94,-940.0,141
10/1/2025,ESEWA BALANCE TRANSFER,Shopping,Credit,40,0.87,34.8,142
10/13/2025,PAYCHECK DEPOSIT,Bills,Credit,50,0.94,47.0,143
5/1/2025,DD-SALARY,Income,debit,10,1.1,-11.0,144
9/30/2025,ATM WITHDRAWAL,Other,debit,100,1.13,-113.0,145
10/22/2025,REFUND DARAZ,Bills,debit,50,1.18,-59.0,146
1/18/2026,WHOLE FOODS MKT,Groceries,Debit,100,0.81,-81.0,147
3/19/2025,SHELL-FUEL,Transportation,Credit,50,1.15,57.5,148
8/25/2025,ESEWA CASHOUT,Transportation,Credit,50,1.0,50.0,149
11/4/2025,INDRIVE TRIP,Food & Dining,debit,40,0.81,-32.4,150
8/15/2025,WHOLE FOODS MKT,Transportation,Credit,40,1.07,42.8,151
5/8/2025,INDRIVE TRIP,Bills,Debit,1000,0.9,-900.0,152
10/16/2025,ESEWA BALANCE TRANSFER,Food & Dining,Credit,100,0.9,90.0,153
10/7/2025,SHELL OIL 9876,Uncategorized,Credit,500,0.96,480.0,154
6/21/2025,NETFLIX.COM,Groceries,debit,50,0.92,-46.0,155
4/6/2025,WHOLE FOODS MKT,Entertainment,DEBIT,50,1.18,-59.0,156
3/15/2025,IRANI CHIYA LOKANTHALI,Shopping,Debit,10,1.02,-10.2,157
7/10/2025,IRANI CHIYA LOKANTHALI,Uncategorized,Debit,20,0.91,-18.2,158
7/30/2025,LANDLORD_RENT_PAYMNT,Entertainment,CREDIT,20,1.12,22.4,159
12/3/2025,INDRIVE TRIP,Other,debit,40,0.93,-37.2,160
2/16/2025,Netflix Subscription,Other,Credit,20,1.06,21.2,161
12/29/2025,AMAZON PRIME,Entertainment,debit,20,0.82,-16.4,162
12/29/2025,DD-SALARY,Other,DEBIT,20,1.11,-22.2,163
2/1/2026,DD-SALARY,Shopping,Credit,40,0.82,32.8,164
12/25/2025,ESEWA CASHOUT,Entertainment,DEBIT,100,0.81,-81.0,165
8/27/2025,Netflix Subscription,Other,CREDIT,40,1.02,40.8,166
6/11/2025,ESEWA CASHOUT,,Debit,100,1.16,-116.0,167
11/25/2025,Netflix Subscription,Groceries,Debit,40,1.0,-40.0,168
2/22/2025,INDRIVE TRIP,Entertainment,Credit,40,0.91,36.4,169
5/3/2025,IRANI CHIYA LOKANTHALI,Shopping,Credit,100,1.09,109.0,170
10/14/2025,PAYCHECK DEPOSIT,Food & Dining,debit,50,0.92,-46.0,171
2/24/2025,SHELL OIL 9876,Groceries,Credit,20,1.14,22.8,172
1/1/2026,ATM CASH,Entertainment,DEBIT,40,1.16,-46.4,173
10/23/2025,SHELL-FUEL,Transportation,DEBIT,20,0.84,-16.8,174
6/12/2025,ESEWA BALANCE TRANSFER,Shopping,debit,100,1.11,-111.0,175
8/29/2025,REFUND DARAZ,Entertainment,debit,20,1.02,-20.4,176
6/4/2025,ESEWA CASHOUT,Transportation,,100,0.8,80.0,177
1/30/2026,LANDLORD_RENT_PAYMNT,Uncategorized,Credit,50,0.96,48.0,178
11/27/2025,ESEWA CASHOUT,Transportation,debit,50,0.96,-48.0,179
2/7/2025,AMAZON PRIME,Income,Credit,20,0.9,18.0,180
11/27/2025,ESEWA CASHOUT,Shopping,Credit,20,1.17,23.4,181
11/10/2025,ATM CASH,Groceries,debit,20,1.19,-23.8,182
2/8/2025,PAYCHECK DEPOSIT,,DEBIT,20,1.03,-20.6,183
4/7/2025,NETFLIX.COM,Entertainment,Debit,100,0.93,-93.0,184
12/10/2025,SAFA CHULO #1234,Shopping,debit,50,0.85,-42.5,185
8/16/2025,IRANI CHIYA LOKANTHALI,Shopping,Credit,20,0.92,18.4,186
8/16/2025,SAFA CHULO #1234,Bills,debit,50,1.06,-53.0,187
10/15/2025,DD-SALARY,Uncategorized,debit,100,0.98,-98.0,188
3/1/2025,ATM WITHDRAWAL,Entertainment,Debit,100,0.94,-94.0,189
1/11/2026,Netflix Subscription,Uncategorized,Debit,10,0.83,-8.3,190
11/22/2025,PAYCHECK DEPOSIT,Other,CREDIT,500,0.99,495.0,191
9/9/2025,ESEWA BALANCE TRANSFER,Income,Credit,100,1.11,111.0,192
12/27/2025,SAFA CHULO #1234,Income,CREDIT,100,1.0,100.0,193
2/9/2025,AMAZON PRIME,Uncategorized,Credit,50,0.82,41.0,194
7/7/2025,SHELL-FUEL,Food & Dining,debit,20,1.1,-22.0,195
5/1/2025,IRANI CHIYA LOKANTHALI,Bills,DEBIT,40,0.84,-33.6,196
9/8/2025,ATM WITHDRAWAL,Groceries,Credit,10,1.02,10.2,197
4/30/2025,ATM WITHDRAWAL,Transportation,debit,50,1.15,-57.5,198
1/30/2026,REFUND DARAZ,Uncategorized,DEBIT,50,0.88,-44.0,199
5/19/2025,IRANI CHIYA LOKANTHALI,,DEBIT,40,0.91,-36.4,200
6/19/2025,LANDLORD_RENT_PAYMNT,Groceries,Credit,10,1.15,11.5,201
6/7/2025,ATM WITHDRAWAL,Other,debit,20,0.85,-17.0,202
10/14/2025,SHELL-FUEL,Entertainment,Credit,500,1.07,535.0,203
3/29/2025,SHELL-FUEL,Income,DEBIT,50,1.11,-55.5,204
6/27/2025,SAFA CHULO #1234,Other,DEBIT,40,1.06,-42.4,205
7/12/2025,Netflix Subscription,,Debit,100,1.11,-111.0,206
10/16/2025,DD-SALARY,Transportation,Credit,20,1.16,23.2,207
5/19/2025,Netflix Subscription,Uncategorized,debit,50,0.97,-48.5,208
9/15/2025,AMAZON PRIME,Groceries,Credit,500,0.88,440.0,209
11/19/2025,ESEWA BALANCE TRANSFER,Bills,DEBIT,40,1.13,-45.2,210
3/6/2025,SHELL-FUEL,,Credit,20,1.12,22.4,211
10/9/2025,CHOWMEIN 1234,Bills,Credit,1000,0.92,920.0,212
3/27/2025,CHOWMEIN 1234,Uncategorized,Credit,500,0.87,435.0,213
5/25/2025,LANDLORD_RENT_PAYMNT,Entertainment,Credit,500,1.01,505.0,214
11/9/2025,SHELL-FUEL,Groceries,debit,50,1.02,-51.0,215
6/23/2025,NETFLIX.COM,Other,debit,100,0.99,-99.0,216
1/14/2026,Netflix Subscription,Groceries,Debit,50,1.12,-56.0,217
6/21/2025,SHELL OIL 9876,Income,Debit,100,0.92,-92.0,218
9/28/2025,WHOLE FOODS MKT,Food & Dining,DEBIT,20,1.17,-23.4,219
4/21/2025,LANDLORD_RENT_PAYMNT,Uncategorized,Credit,40,0.83,33.2,220
1/24/2026,WHOLE FOODS MKT,Groceries,Debit,500,1.01,-505.0,221
5/28/2025,PAYCHECK DEPOSIT,Other,debit,10,0.94,-9.4,222
5/8/2025,DD-SALARY,Uncategorized,DEBIT,40,1.1,-44.0,223
7/20/2025,WHOLE FOODS MKT,Groceries,debit,40,1.03,-41.2,224
11/13/2025,ESEWA CASHOUT,,Credit,100,0.82,82.0,225
1/10/2026,CHOWMEIN 1234,Groceries,Debit,20,0.99,-19.8,226
7/3/2025,IRANI CHIYA LOKANTHALI,Other,Debit,100,1.12,-112.0,227
1/1/2026,DD-SALARY,Transportation,Credit,40,0.8,32.0,228
4/28/2025,REFUND DARAZ,Groceries,Credit,20,0.87,17.4,229
1/4/2026,DD-SALARY,Groceries,Debit,20,0.91,-18.2,230
11/19/2025,DD-SALARY,Groceries,Credit,50,1.02,51.0,231
3/31/2025,REFUND DARAZ,Entertainment,Debit,20,0.92,-18.4,232
12/1/2025,CHOWMEIN 1234,Food & Dining,CREDIT,100,0.94,94.0,233
3/26/2025,SAFA CHULO #1234,Entertainment,Credit,40,1.03,41.2,234
1/12/2026,WHOLE FOODS MKT,Transportation,Debit,50,0.93,-46.5,235
7/25/2025,LANDLORD_RENT_PAYMNT,Groceries,Credit,1000,0.93,930.0,236
3/26/2025,ATM CASH,Uncategorized,Credit,100,1.08,108.0,237
2/22/2025,SHELL OIL 9876,,Debit,50,0.89,-44.5,238
11/27/2025,AMZN MKTPLC WA,Transportation,Debit,20,0.84,-16.8,239
3/14/2025,CHOWMEIN 1234,Transportation,Debit,40,1.06,-42.4,240
12/27/2025,LANDLORD_RENT_PAYMNT,Bills,CREDIT,20,1.07,21.4,241
12/29/2025,AMAZON PRIME,Groceries,CREDIT,50,1.07,53.5,242
3/19/2025,ESEWA BALANCE TRANSFER,Entertainment,CREDIT,100,0.98,98.0,243
4/13/2025,AMZN MKTPLC WA,Bills,CREDIT,50,1.18,59.0,244
12/12/2025,PAYCHECK DEPOSIT,Bills,Credit,500,1.18,590.0,245
6/17/2025,ESEWA CASHOUT,Transportation,CREDIT,50,1.2,60.0,246
7/21/2025,Netflix Subscription,Uncategorized,debit,100,0.81,-81.0,247
9/23/2025,SHELL OIL 9876,Other,Debit,50,0.84,-42.0,248
8/5/2025,PAYCHECK DEPOSIT,Bills,Credit,100,0.95,95.0,249
11/13/2025,ATM WITHDRAWAL,Uncategorized,Credit,40,1.0,40.0,250
4/23/2025,REFUND DARAZ,Uncategorized,Debit,20,1.13,-22.6,251
1/28/2026,IRANI CHIYA LOKANTHALI,,debit,50,0.87,-43.5,252
10/3/2025,INDRIVE TRIP,Entertainment,debit,20,0.86,-17.2,253
2/22/2025,LANDLORD_RENT_PAYMNT,Groceries,Credit,50,1.19,59.5,254
1/20/2026,ESEWA BALANCE TRANSFER,Bills,Credit,10,1.2,12.0,255
5/23/2025,SHELL-FUEL,Groceries,DEBIT,50,1.04,-52.0,256
10/16/2025,ESEWA BALANCE TRANSFER,Groceries,debit,100,0.9,-90.0,257
8/19/2025,IRANI CHIYA LOKANTHALI,Bills,DEBIT,40,0.8,-32.0,258
7/25/2025,Netflix Subscription,Bills,CREDIT,50,0.97,48.5,259
8/18/2025,SHELL OIL 9876,Other,Credit,100,0.87,87.0,260
4/25/2025,SAFA CHULO #1234,Food & Dining,,100,1.2,120.0,261
6/3/2025,LANDLORD_RENT_PAYMNT,Other,debit,100,1.16,-116.0,262
10/10/2025,SAFA CHULO #1234,Income,debit,100,1.13,-113.0,263
6/8/2025,NETFLIX.COM,Bills,Debit,20,0.85,-17.0,264
4/26/2025,ESEWA BALANCE TRANSFER,Shopping,CREDIT,20,1.16,23.2,265
9/4/2025,ATM CASH,Transportation,DEBIT,50,1.13,-56.5,266
2/25/2025,NETFLIX.COM,Groceries,DEBIT,20,1.05,-21.0,267
12/18/2025,SHELL-FUEL,Bills,Debit,50,1.12,-56.0,268
6/27/2025,LANDLORD_RENT_PAYMNT,Entertainment,Credit,50,1.04,52.0,269
11/17/2025,DD-SALARY,Food & Dining,DEBIT,500,1.1,-550.0,270
10/4/2025,DD-SALARY,Entertainment,Credit,100,1.14,114.0,271
6/15/2025,ATM CASH,Bills,Debit,100,0.96,-96.0,272
10/7/2025,ATM CASH,Bills,Debit,20,0.86,-17.2,273
1/29/2026,ESEWA CASHOUT,Other,Credit,100,1.12,112.0,274
12/23/2025,INDRIVE TRIP,,debit,500,0.9,-450.0,275
8/21/2025,NETFLIX.COM,Income,Debit,100,0.87,-87.0,276
1/30/2026,AMAZON PRIME,,Debit,20,1.06,-21.2,277
11/25/2025,REFUND DARAZ,Entertainment,debit,20,0.87,-17.4,278
1/17/2026,REFUND DARAZ,Bills,debit,20,0.85,-17.0,279
11/25/2025,ATM WITHDRAWAL,Entertainment,Credit,1000,1.17,1170.0,280
1/27/2026,SHELL OIL 9876,Other,debit,100,1.0,-100.0,281
2/22/2025,ATM WITHDRAWAL,Groceries,Debit,10,1.01,-10.1,282
9/29/2025,REFUND DARAZ,Bills,Credit,10,0.96,9.6,283
9/28/2025,PAYCHECK DEPOSIT,Uncategorized,debit,50,0.89,-44.5,284
5/20/2025,SAFA CHULO #1234,,Credit,20,1.11,22.2,285
2/2/2026,SAFA CHULO #1234,Bills,DEBIT,100,1.18,-118.0,286
6/27/2025,AMAZON PRIME,,Debit,50,1.0,-50.0,287
9/2/2025,SHELL OIL 9876,Transportation,CREDIT,20,0.81,16.2,288
2/8/2025,CHOWMEIN 1234,Uncategorized,CREDIT,20,1.07,21.4,289
6/25/2025,REFUND DARAZ,,Debit,20,1.09,-21.8,290
6/18/2025,ESEWA BALANCE TRANSFER,Food & Dining,debit,50,1.08,-54.0,291
7/15/2025,REFUND DARAZ,Groceries,Debit,50,1.14,-57.0,292
3/31/2025,WHOLE FOODS MKT,Other,Debit,20,1.19,-23.8,293
3/30/2025,SHELL OIL 9876,Income,Debit,500,1.1,-550.0,294
3/1/2025,AMAZON PRIME,Groceries,Debit,50,1.07,-53.5,295
11/4/2025,Netflix Subscription,Other,debit,50,1.11,-55.5,296
3/2/2025,ATM CASH,Transportation,debit,50,0.92,-46.0,297
6/27/2025,Netflix Subscription,Income,CREDIT,100,1.05,105.0,298
8/19/2025,SHELL OIL 9876,Uncategorized,Credit,50,1.01,50.5,299
6/23/2025,ESEWA BALANCE TRANSFER,Uncategorized,debit,50,1.07,-53.5,300
6/26/2025,NETFLIX.COM,Entertainment,DEBIT,20,1.07,-21.4,301
11/24/2025,AMZN MKTPLC WA,Income,DEBIT,40,0.98,-39.2,302
9/10/2025,WHOLE FOODS MKT,,debit,100,1.03,-103.0,303
8/5/2025,REFUND DARAZ,Transportation,debit,20,0.88,-17.6,304
10/18/2025,Netflix Subscription,Groceries,debit,100,0.96,-96.0,305
6/29/2025,SAFA CHULO #1234,Bills,Debit,100,0.86,-86.0,306
4/25/2025,SAFA CHULO #1234,Bills,Credit,500,1.1,550.0,307
7/25/2025,ESEWA BALANCE TRANSFER,,debit,100,0.87,-87.0,308
5/3/2025,AMAZON PRIME,Income,,1000,1.01,1010.0,309
10/30/2025,INDRIVE TRIP,Groceries,Credit,100,1.04,104.0,310
8/5/2025,SAFA CHULO #1234,Groceries,Credit,100,0.83,83.0,311
1/30/2026,IRANI CHIYA LOKANTHALI,Entertainment,,20,0.95,19.0,312
2/18/2025,AMAZON PRIME,Shopping,debit,50,0.92,-46.0,313
4/15/2025,NETFLIX.COM,Transportation,DEBIT,20,1.04,-20.8,314
1/7/2026,Netflix Subscription,Uncategorized,Debit,50,0.8,-40.0,315
7/23/2025,AMZN MKTPLC WA,Uncategorized,,50,0.9,45.0,316
5/5/2025,SHELL OIL 9876,Uncategorized,Debit,100,1.03,-103.0,317
5/3/2025,IRANI CHIYA LOKANTHALI,Entertainment,Debit,50,0.99,-49.5,318
12/18/2025,SAFA CHULO #1234,Shopping,Credit,10,1.04,10.4,319
2/21/2025,Netflix Subscription,Groceries,Credit,20,0.87,17.4,320
5/20/2025,ESEWA BALANCE TRANSFER,Transportation,Debit,1000,0.96,-960.0,321
5/15/2025,Netflix Subscription,Transportation,Credit,1000,0.89,890.0,322
3/4/2025,SHELL-FUEL,Transportation,Credit,20,1.13,22.6,323
2/11/2025,SAFA CHULO #1234,,Credit,20,0.96,19.2,324
7/17/2025,CHOWMEIN 1234,Bills,CREDIT,40,1.13,45.2,325
3/18/2025,ATM WITHDRAWAL,Entertainment,Credit,40,0.99,39.6,326
7/21/2025,REFUND DARAZ,Bills,Credit,100,0.81,81.0,327
3/17/2025,ATM WITHDRAWAL,Income,Credit,100,0.91,91.0,328
3/4/2025,AMAZON PRIME,Bills,debit,40,0.84,-33.6,329
11/12/2025,LANDLORD_RENT_PAYMNT,Groceries,Debit,50,1.14,-57.0,330
11/10/2025,PAYCHECK DEPOSIT,Entertainment,Debit,40,1.01,-40.4,331
11/14/2025,INDRIVE TRIP,Shopping,Credit,10,1.14,11.4,332
12/18/2025,ATM CASH,Other,Credit,10,1.15,11.5,333
11/18/2025,CHOWMEIN 1234,Uncategorized,CREDIT,40,1.04,41.6,334
11/16/2025,CHOWMEIN 1234,Food & Dining,debit,20,1.12,-22.4,335
1/9/2026,LANDLORD_RENT_PAYMNT,Uncategorized,Credit,50,0.97,48.5,336
2/12/2025,REFUND DARAZ,Bills,CREDIT,1000,0.85,850.0,337
8/14/2025,SHELL OIL 9876,Income,DEBIT,100,1.13,-113.0,338
1/22/2026,AMAZON PRIME,Income,Debit,50,0.87,-43.5,339
3/26/2025,PAYCHECK DEPOSIT,Income,Credit,50,0.98,49.0,340
10/12/2025,NETFLIX.COM,Uncategorized,debit,10,1.05,-10.5,341
4/28/2025,Netflix Subscription,Groceries,Debit,40,0.92,-36.8,342
4/29/2025,ATM CASH,Income,Debit,20,0.8,-16.0,343
1/29/2026,DD-SALARY,Uncategorized,Credit,40,0.97,38.8,344
